SKU;Material
1566053;Fiat Argo
1027501;Chevrolet Onix
1004996;Hyundai HB20
1862680;Volkswagen Gol
1294587;Toyota Corolla
1775389;Honda Civic
1603790;Jeep Renegade
1919541;Hyundai Creta
1692367;Fiat Strada
1974163;Chevrolet Tracker
1898527;Volkswagen Nivus
1964094;Renault Kwid
1337758;Ford Ka
1459214;Peugeot 208
1664152;Citroën C3
1813002;CAOA Chery Arrizo 6
1964575;Volkswagen Fox
1231410;Fiat Mobi
1599107;Nissan Kicks
1588369;Renault Captur
1623740;Volkswagen T-Cross
1455303;Chevrolet Spin
1817142;BYD Dolphin
1437645;Jeep Compass
1771577;Toyota Yaris
1604464;Honda Fit
1380631;Fiat Pulse
1764874;Volkswagen Virtus
1078333;Ford Ranger
1681975;Chevrolet S10
1727175;RAM Rampage
1194713;Volkswagen Saveiro
1994330;Chevrolet Montana
1724087;Fiat Cronos
1094868;Honda City
1648157;Toyota Hilux
1567979;Volkswagen Amarok
1520947;BYD Seal
1325170;GWM Ora 03
1212676;BYD Song Plus
1857918;CAOA Chery Tiggo 5X
1744638;CAOA Chery Tiggo 7 Pro
1994786;BYD Yuan Plus
1089038;BYD Tan
1030992;CAOA Chery Arrizo 5E
1785100;Renault Duster
1338488;Hyundai Tucson
1638306;Kia Sportage
1851698;Mitsubishi L200
1679017;Nissan Frontier
1495946;Volkswagen Taos
1725255;Toyota SW4
1746728;Chevrolet Trailblazer
1147330;Ford Territory
1612463;BYD Han
1537888;BYD Destroyer 05
1473506;GWM Haval H6
1255308;Mitsubishi Outlander
1553274;Fiat Fastback
1998718;Chevrolet Equinox
1296350;Honda HR-V
1197265;Renault Oroch
1546825;Toyota Camry
1031301;Ford EcoSport
1629915;Peugeot 2008
1202105;Citroën C4 Cactus
1931820;CAOA Chery Tiggo 8 Pro
1957277;BYD Song Pro
1618807;BYD Qin Plus
1356355;CAOA Chery Tiggo 3X
1508788;Renault Sandero
1350338;Fiat Toro
1695172;Volkswagen Jetta
